51	10.197	0.761194
74	18.052	1.04225
87	37.706	0.813084
51	42.078	0.809524
51	41.74	0.809524
74	74.412	1.07246
51	9.98	0.761194
74	16.813	1.04225
87	37.449	0.813084
74	32.192	0.880952
51	10.313	0.761194
74	18.347	1.04225
87	37.61	0.813084
74	32.716	0.880952
51	4.361	0.796875
74	7.06	1.04225
87	16.062	0.763158
74	11.108	0.860465
85	13.202	0.732759
92	18.169	0.893204
92	15.943	0.884615

51	4.312	0.796875
74	7.007	1.04225
87	9.584	0.74359
74	8.934	0.860465
85	9.184	0.720339
92	9.914	0.859813
92	9.507	0.851852
87	9.838	0.737288
81	9.163	0.736364
69	8.396	0.766667
61	7.153	0.7625
51	8.086	0.809524
74	7.716	1.02778
87	8.643	0.769912
74	8.322	0.91358
85	8.415	0.817308
92	8.583	0.901961
92	8.296	0.948454
87	8.445	0.756522
