51	9.091	0.761194
74	8.327	1.04225
87	9.305	0.74359
74	8.788	0.822222
85	8.925	0.765766
92	8.783	0.786325
92	8.555	0.851852
87	9.15	0.756522
81	9.133	0.704348
69	8.694	0.741935
61	8.458	0.753086
97	8.763	0.746154
56	9.15	0.982456
65	8.511	0.747126
62	8.409	0.837838
68	8.418	0.906667
63	8.496	0.777778
89	10.436	0.729508
60	8.411	0.882353
78	9.064	0.83871
75	8.814	0.735294
81	9.003	0.75
85	9.233	0.720339
73	8.893	0.760417
50	9.117	0.980392
79	9.09	0.738318
51	9.154	0.761194
72	8.847	0.782609
57	9.451	0.76
86	9.117	0.803738
84	9.001	0.777778
67	8.688	0.736264
88	9.031	0.838095
83	9.209	0.72807
70	8.454	0.843373
95	8.971	0.719697
99	8.856	0.722628
84	8.862	0.848485
90	8.383	0.882353
97	8.944	0.687943
58	9.514	0.865672
67	8.93	0.744444
52	9.064	0.945455
91	8.771	0.752066
53	9.195	0.791045
74	8.65	0.840909
98	8.874	0.830508
98	8.666	0.784
56	9.418	0.8
99	9.126	0.727941
51	9.224	0.836066
55	9.198	0.753425
66	8.344	1.03125
74	8.459	0.91358
50	9.241	0.925926
51	9.419	0.761194
89	9.411	0.729508
74	8.942	0.840909
52	8.431	1.01961
79	9.988	0.745283
76	8.975	0.873563
87	9.919	0.707317
73	9.077	0.752577
59	9.28	0.808219
93	8.585	0.732283
53	9.155	0.828125
61	8.446	0.73494
74	9.061	0.755102
59	9.37	0.746835
59	9.488	0.776316
70	8.361	0.945946
85	9.48	0.720339
100	9.058	0.769231
59	9.444	0.7375
57	9.146	0.814286
97	8.882	0.718519
64	8.323	0.927536
98	8.687	0.816667
70	8.412	0.909091
85	9.388	0.732759
50	9.189	0.892857
63	8.536	0.75
80	9.024	0.816327
58	9.346	0.966667
61	8.49	0.7625
89	9.218	0.729508
77	8.742	0.740385
78	8.679	0.896552
96	8.471	0.888889
99	9.496	0.71223
61	8.398	0.792208
69	8.689	0.775281
98	8.81	0.907407
75	8.926	0.757576
61	8.647	0.802632
58	9.615	0.95082
55	9.524	0.785714
87	9.302	0.719008
