seed	mw	n	co	sa	sun	sna	blk	score
147	26	36	81	21	1676	4262	11	2231847
148	8	37	54	62	1725	4199	14	2947276
149	18	45	41	50	1343	9453	11	4460102
150	16	47	67	74	1657	4872	12	4892989
151	12	38	27	38	970	11361	7	2288920
152	69	48	61	19	1232	18228	17	6253228
153	46	49	23	39	746	30164	15	6129405
154	36	44	63	34	1127	15502	12	5765103
155	15	46	70	57	1610	5320	12	4221561
156	21	35	95	42	1604	6829	14	4083051
157	6	41	59	83	1667	1500	4	2003673
158	5	21	84	46	1890	943	8	981454
159	19	26	51	53	1166	10815	10	3720085
160	12	29	32	87	1218	14691	15	4809708
161	14	30	48	48	1015	7154	5	2669280
162	28	50	34	36	1365	9610	12	3876138
163	34	43	64	52	874	15411	9	7166976
164	10	42	29	88	1068	10553	7	4546545
165	11	21	61	59	1468	10226	17	3017603
166	83	50	73	42	838	34517	20	15168908
167	21	43	14	82	1013	30733	20	5884704
168	28	38	65	47	1087	13403	11	5686431
169	17	35	74	78	1585	8467	16	5470510
170	72	47	98	22	1008	20591	14	8081612
171	14	40	66	71	1408	10625	12	5112599
172	19	30	91	97	1288	11015	13	7141465
173	51	45	71	38	1148	15668	14	7187188
174	21	23	67	32	1172	8279	8	2413495
175	33	33	51	43	1315	14519	15	5424291
176	7	22	31	47	1476	5634	9	1469873
177	17	33	32	46	1270	7379	8	2666524
178	13	26	46	55	1366	8239	11	2742809
179	26	39	42	80	802	25399	14	8583362
180	11	50	52	65	1461	3375	5	2962388
181	64	47	49	63	1059	29266	22	14085869
182	15	23	53	28	1701	4764	14	1725242
183	17	38	61	84	977	13990	10	6672318
184	31	30	53	35	996	16825	12	4444295
185	26	44	68	21	1454	6065	9	2941623
186	47	44	43	60	720	40176	18	11735809
187	5	50	11	78	1339	2962	3	1524327
188	8	30	26	82	1208	7438	7	2561004
189	11	24	21	72	889	17009	11	3174846
190	23	39	23	33	1196	13277	12	3402545
191	32	27	40	11	1152	11320	10	1454515
192	11	40	37	28	1761	3190	12	1510907
193	16	25	38	57	1197	11491	10	3503448
194	22	29	75	91	1036	18555	14	8542732
195	53	47	60	45	1128	23086	20	9288345
196	15	33	61	77	1423	9859	14	5347857
197	8	23	96	39	1551	3008	5	1635993
198	13	32	19	36	1102	5473	4	1486362
199	7	22	29	74	1332	10838	13	2406755
200	14	21	87	48	1253	9280	10	2931003
201	28	23	86	54	1029	20120	15	5958988
202	12	43	84	74	1486	6065	10	5015172
203	29	50	46	77	1069	13548	10	7611391
204	69	43	61	10	1141	14695	13	3241464
205	9	34	51	99	1514	7199	12	3987723
206	27	45	54	73	1153	13360	11	6724677
207	51	42	94	33	1268	16345	17	7815251
208	10	34	13	52	1390	8445	11	1787799
209	21	30	60	71	1089	16093	13	5892628
210	9	38	48	49	1581	4636	10	2070234
211	25	21	87	13	839	8620	5	1501229
212	20	49	63	69	1498	7698	12	6223344
213	20	49	18	24	1407	10181	13	2048484
214	4	47	15	57	1561	1879	3	967218
215	42	48	94	38	1110	8209	6	5990606
216	67	47	73	13	1588	10940	23	4254442
217	17	29	31	25	1120	7086	6	1593649
218	5	30	41	39	1882	982	7	818745
219	33	28	79	45	1281	18279	18	6717350
220	36	41	61	62	583	31366	12	9579891
221	29	44	90	64	1540	11014	21	8549960
222	33	43	61	69	1025	19629	13	8818978
223	27	50	48	17	1572	5145	11	2056330
224	25	32	85	68	1183	20180	18	8404749
225	19	49	74	58	1271	9776	10	5501822
226	22	33	48	33	1248	7289	7	2695992
227	28	50	80	81	1357	9716	12	8850758
228	16	26	18	41	1003	16785	12	2497462
229	11	21	23	59	859	21814	13	3154156
230	5	29	21	88	1519	5110	9	1814954
231	12	30	56	62	1497	5913	10	2882438
232	7	35	60	89	1526	2107	3	2132129
233	30	20	92	42	1279	16051	17	5256602
234	9	35	58	86	1599	3998	8	3310672
235	24	24	31	14	1033	13604	11	1540000
236	18	21	87	42	1477	9365	14	3239970
237	7	32	14	24	1499	6331	10	935144
238	14	29	77	88	1273	14106	14	6097784
239	13	28	69	78	1147	5444	4	3516027
240	4	32	23	41	1718	1277	4	676538
241	13	47	25	87	1409	7552	10	4428273
242	16	40	98	82	1330	7331	8	6205116
243	16	34	39	52	1186	14970	14	4410315
244	15	23	46	33	1520	6738	12	2144401
245	33	44	60	17	1280	8393	9	2428710
246	19	44	41	22	1470	4441	7	1641111
247	59	48	62	15	1273	14768	16	4914861
248	30	29	67	47	885	22296	13	6122868
249	18	41	20	52	1154	11687	10	3495940
250	3	49	32	18	1968	168	5	208744
251	41	49	75	29	681	7984	4	3847192
252	36	27	34	15	1193	13501	12	2108230
253	34	40	77	33	1366	9320	12	4948086
254	36	43	48	37	1022	16171	11	5885373
255	18	30	67	88	1024	12845	9	5922070
256	12	26	51	38	1650	3976	10	1702965
257	47	44	32	13	1312	12384	13	2614491
258	30	31	48	36	1194	20631	20	4803936
259	13	38	37	72	1224	7529	7	3687602
260	20	35	68	52	1055	12688	10	5308220
261	11	36	18	53	1362	8584	10	2216953
262	8	46	39	68	1465	6816	11	3452500
