seed	r	mw	n	co	sa	sna	score
169	18	18	35	74	78	8467	5239536
170	15	81	47	98	22	20591	7001310
171	25	22	40	66	71	10625	5239924
172	13	17	30	91	97	11015	6960930
173	20	43	45	71	38	15668	6420163
174	14	16	23	67	32	8279	2356344
175	16	24	33	51	43	14519	5335820
176	33	7	22	31	47	5634	1444766
177	13	13	33	32	46	7379	2592754
178	28	12	26	46	55	8239	2788102
179	13	26	39	42	80	25399	7682674
180	22	14	50	52	65	3375	2862327
181	14	38	47	49	63	29266	12157684
182	11	16	23	53	28	4764	1727358
183	17	21	38	61	84	13990	6024373
184	15	26	30	53	35	16825	4284487
185	17	37	44	68	21	6065	2838100
186	13	54	44	43	60	40176	10947002
187	23	5	50	11	78	2962	1407942
188	18	8	30	26	82	7438	2690104
189	10	9	24	21	72	17009	3093852
190	14	20	39	23	33	13277	3086309
191	15	31	27	40	11	11320	1436102
192	17	14	40	37	28	3190	1456564
193	12	12	25	38	57	11491	3784002
194	18	20	29	75	91	18555	8538704
195	18	45	47	60	45	23086	8320335
196	17	16	33	61	77	9859	5040127
197	15	10	23	96	39	3008	1629528
198	12	9	32	19	36	5473	1471354
199	36	8	22	29	74	10838	2512455
200	13	15	21	87	48	9280	2992218
201	12	24	23	86	54	20120	6052552
202	29	19	43	84	74	6065	4813180
203	17	27	50	46	77	13548	6840841
204	12	71	43	61	10	14695	2974804
205	54	11	34	51	99	7199	3901872
206	19	26	45	54	73	13360	6247339
207	17	53	42	94	33	16345	7546952
208	19	8	34	13	52	8445	1639352
209	16	19	30	60	71	16093	6016102
210	62	21	38	48	49	4636	2731724
211	8	28	21	87	13	8620	1448773
212	21	33	49	63	69	7698	6549588
213	22	23	49	18	24	10181	1797060
214	28	5	47	15	57	1879	825321
215	17	39	48	94	38	8209	5324746
216	15	68	47	73	13	10940	3690741
217	14	15	29	31	25	7086	1550675
218	17	6	30	41	39	982	826370
219	11	32	28	79	45	18279	6655357
220	12	41	41	61	62	31366	8907180
221	22	31	44	90	64	11014	8095144
222	14	31	43	61	69	19629	7981466
223	22	37	50	48	17	5145	2012531
224	19	27	32	85	68	20180	7970909
225	21	33	49	74	58	9776	5749792
226	16	19	33	48	33	7289	2530605
227	17	27	50	80	81	9716	8081390
228	38	12	26	18	41	16785	2634296
229	10	10	21	23	59	21814	3289444
